s.no,Transaction ID,Date/Time of Sale,Product Name,Sales Amount,Quantity Sold,Payment Method
1,100000,2024-01-01,Milk,50,2,Cash
2,100001,2024-01-01,Tea,100,2,UPI
3,100002,2024-01-01,Shampoo,120,3,UPI
4,100003,2024-01-01,Oil,300,2,UPI
5,100004,2024-01-01,Shampoo,80,2,Cash
6,100005,2024-01-01,Tea,100,2,UPI
7,100006,2024-01-01,Dal,80,1,Cash
8,100007,2024-01-01,Biscuits,60,2,UPI
9,100008,2024-01-01,Wheat,90,1,UPI
10,100009,2024-01-01,Rice,120,2,Cash
11,100010,2024-01-01,Tea,100,2,UPI
12,100011,2024-01-01,Biscuits,60,2,Cash
13,100012,2024-01-01,Dal,240,3,UPI
14,100013,2024-01-01,Dal,160,2,UPI
15,100014,2024-01-01,Milk,50,2,UPI
16,100015,2024-01-01,Oil,450,3,UPI
17,100016,2024-01-01,Tea,50,1,UPI
18,100017,2024-01-01,Oil,300,2,Cash
19,100018,2024-01-01,Sugar,40,1,Cash
20,100019,2024-01-01,Shampoo,40,1,Cash
21,100020,2024-01-01,Tea,50,1,UPI
22,100021,2024-01-01,Oil,300,2,Cash
23,100022,2024-01-01,Milk,25,1,UPI
24,100023,2024-01-01,Dal,160,2,UPI
25,100024,2024-01-01,Dal,80,1,UPI
26,100025,2024-01-01,Milk,75,3,UPI
27,100026,2024-01-01,Biscuits,30,1,UPI
28,100027,2024-01-01,Coffee,70,1,Cash
29,100028,2024-01-01,Oil,150,1,UPI
30,100029,2024-01-01,Milk,50,2,Cash
31,100030,2024-01-01,Rice,60,1,Cash
32,100031,2024-01-01,Milk,25,1,UPI
33,100032,2024-01-01,Shampoo,80,2,UPI
34,100033,2024-01-01,Rice,120,2,Cash
35,100034,2024-01-01,Tea,100,2,Cash
36,100035,2024-01-01,Shampoo,40,1,Cash
37,100036,2024-01-01,Dal,80,1,UPI
38,100037,2024-01-01,Sugar,80,2,UPI
39,100038,2024-01-01,Sugar,40,1,Cash
40,100039,2024-01-01,Tea,50,1,UPI
41,100040,2024-01-01,Coffee,210,3,UPI
42,100041,2024-01-01,Sugar,120,3,Cash
43,100042,2024-01-01,Sugar,40,1,UPI
44,100043,2024-01-01,Dal,240,3,UPI
45,100044,2024-01-01,Sugar,120,3,Cash
46,100045,2024-01-02,Sugar,40,1,Cash
47,100046,2024-01-02,Shampoo,40,1,UPI
48,100047,2024-01-02,Rice,120,2,Cash
49,100048,2024-01-02,Biscuits,60,2,Cash
50,100049,2024-01-02,Dal,160,2,Cash
51,100050,2024-01-02,Oil,150,1,Cash
52,100051,2024-01-02,Coffee,210,3,Cash
53,100052,2024-01-02,Sugar,80,2,UPI
54,100053,2024-01-02,Coffee,210,3,UPI
55,100054,2024-01-02,Biscuits,60,2,UPI
56,100055,2024-01-02,Rice,60,1,UPI
57,100056,2024-01-02,Wheat,90,1,UPI
58,100057,2024-01-02,Milk,75,3,Cash
59,100058,2024-01-02,Dal,240,3,Cash
60,100059,2024-01-02,Coffee,140,2,UPI
61,100060,2024-01-02,Shampoo,40,1,UPI
62,100061,2024-01-02,Tea,100,2,Cash
63,100062,2024-01-02,Milk,50,2,Cash
64,100063,2024-01-03,Shampoo,40,1,UPI
65,100064,2024-01-03,Sugar,120,3,UPI
66,100065,2024-01-03,Tea,100,2,UPI
67,100066,2024-01-03,Wheat,270,3,UPI
68,100067,2024-01-03,Dal,160,2,UPI
69,100068,2024-01-03,Tea,50,1,Cash
70,100069,2024-01-03,Rice,60,1,Cash
71,100070,2024-01-03,Milk,50,2,Cash
72,100071,2024-01-03,Rice,180,3,Cash
73,100072,2024-01-03,Rice,180,3,UPI
74,100073,2024-01-03,Shampoo,80,2,UPI
75,100074,2024-01-03,Rice,180,3,Cash
76,100075,2024-01-03,Dal,80,1,Cash
77,100076,2024-01-03,Wheat,180,2,Cash
78,100077,2024-01-03,Tea,100,2,Cash
79,100078,2024-01-03,Dal,160,2,Cash
80,100079,2024-01-03,Rice,120,2,Cash
81,100080,2024-01-03,Rice,120,2,Cash
82,100081,2024-01-03,Wheat,180,2,Cash
83,100082,2024-01-03,Oil,300,2,UPI
84,100083,2024-01-03,Rice,120,2,Cash
85,100084,2024-01-03,Coffee,140,2,Cash
86,100085,2024-01-03,Biscuits,30,1,Cash
87,100086,2024-01-03,Shampoo,80,2,Cash
88,100087,2024-01-03,Dal,80,1,Cash
89,100088,2024-01-03,Tea,100,2,Cash
90,100089,2024-01-03,Tea,100,2,Cash
91,100090,2024-01-03,Coffee,210,3,Cash
92,100091,2024-01-03,Rice,180,3,UPI
93,100092,2024-01-03,Milk,50,2,UPI
94,100093,2024-01-03,Biscuits,90,3,UPI
95,100094,2024-01-03,Oil,150,1,UPI
96,100095,2024-01-03,Tea,150,3,UPI
97,100096,2024-01-03,Wheat,270,3,UPI
98,100097,2024-01-03,Oil,150,1,UPI
99,100098,2024-01-03,Shampoo,120,3,UPI
100,100099,2024-01-03,Wheat,180,2,Cash
101,100100,2024-01-03,Rice,180,3,UPI
102,100101,2024-01-03,Coffee,140,2,UPI
103,100102,2024-01-03,Oil,300,2,Cash
104,100103,2024-01-03,Sugar,120,3,Cash
105,100104,2024-01-03,Tea,150,3,UPI
106,100105,2024-01-03,Sugar,120,3,UPI
107,100106,2024-01-03,Biscuits,60,2,Cash
108,100107,2024-01-03,Dal,240,3,Cash
109,100108,2024-01-03,Oil,150,1,Cash
110,100109,2024-01-03,Oil,300,2,Cash
111,100110,2024-01-03,Dal,80,1,Cash
112,100111,2024-01-03,Sugar,80,2,Cash
113,100112,2024-01-03,Dal,80,1,Cash
114,100113,2024-01-04,Milk,50,2,Cash
115,100114,2024-01-04,Dal,240,3,UPI
116,100115,2024-01-04,Wheat,180,2,Cash
117,100116,2024-01-04,Oil,150,1,UPI
118,100117,2024-01-04,Coffee,140,2,Cash
119,100118,2024-01-04,Rice,180,3,Cash
120,100119,2024-01-04,Tea,150,3,UPI
121,100120,2024-01-04,Milk,75,3,Cash
122,100121,2024-01-04,Wheat,90,1,UPI
123,100122,2024-01-04,Dal,80,1,Cash
124,100123,2024-01-04,Rice,120,2,UPI
125,100124,2024-01-04,Oil,450,3,Cash
126,100125,2024-01-04,Wheat,270,3,Cash
127,100126,2024-01-04,Shampoo,80,2,UPI
128,100127,2024-01-04,Shampoo,120,3,UPI
129,100128,2024-01-04,Sugar,120,3,UPI
130,100129,2024-01-04,Oil,300,2,Cash
131,100130,2024-01-04,Dal,160,2,UPI
132,100131,2024-01-04,Sugar,80,2,Cash
133,100132,2024-01-04,Dal,160,2,Cash
134,100133,2024-01-04,Coffee,70,1,Cash
135,100134,2024-01-04,Tea,50,1,UPI
136,100135,2024-01-04,Coffee,210,3,Cash
137,100136,2024-01-04,Milk,75,3,UPI
138,100137,2024-01-04,Rice,120,2,Cash
139,100138,2024-01-04,Wheat,90,1,Cash
140,100139,2024-01-04,Tea,100,2,Cash
141,100140,2024-01-05,Rice,180,3,UPI
142,100141,2024-01-05,Sugar,120,3,Cash
143,100142,2024-01-05,Coffee,140,2,Cash
144,100143,2024-01-05,Coffee,70,1,UPI
145,100144,2024-01-05,Rice,120,2,UPI
146,100145,2024-01-05,Oil,150,1,Cash
147,100146,2024-01-05,Wheat,270,3,UPI
148,100147,2024-01-05,Rice,180,3,Cash
149,100148,2024-01-05,Milk,50,2,Cash
150,100149,2024-01-05,Biscuits,60,2,UPI
151,100150,2024-01-05,Sugar,120,3,Cash
152,100151,2024-01-06,Sugar,40,1,Cash
153,100152,2024-01-06,Biscuits,90,3,Cash
154,100153,2024-01-06,Dal,160,2,UPI
155,100154,2024-01-06,Dal,80,1,UPI
156,100155,2024-01-06,Dal,80,1,Cash
157,100156,2024-01-06,Tea,100,2,UPI
158,100157,2024-01-06,Sugar,80,2,Cash
159,100158,2024-01-06,Sugar,120,3,UPI
160,100159,2024-01-06,Biscuits,30,1,UPI
161,100160,2024-01-06,Tea,100,2,UPI
162,100161,2024-01-06,Sugar,120,3,UPI
163,100162,2024-01-06,Oil,450,3,Cash
164,100163,2024-01-06,Oil,450,3,Cash
165,100164,2024-01-06,Tea,100,2,UPI
166,100165,2024-01-06,Dal,160,2,UPI
167,100166,2024-01-06,Sugar,40,1,UPI
168,100167,2024-01-06,Shampoo,120,3,Cash
169,100168,2024-01-06,Oil,300,2,UPI
170,100169,2024-01-06,Rice,60,1,Cash
171,100170,2024-01-06,Wheat,180,2,Cash
172,100171,2024-01-06,Coffee,210,3,Cash
173,100172,2024-01-06,Coffee,140,2,UPI
174,100173,2024-01-06,Sugar,80,2,Cash
175,100174,2024-01-06,Sugar,80,2,UPI
176,100175,2024-01-06,Shampoo,120,3,UPI
177,100176,2024-01-06,Milk,50,2,Cash
178,100177,2024-01-06,Tea,150,3,UPI
179,100178,2024-01-06,Wheat,180,2,UPI
180,100179,2024-01-07,Wheat,270,3,Cash
181,100180,2024-01-07,Oil,450,3,UPI
182,100181,2024-01-07,Dal,80,1,UPI
183,100182,2024-01-07,Sugar,120,3,Cash
184,100183,2024-01-07,Milk,50,2,Cash
185,100184,2024-01-07,Biscuits,60,2,UPI
186,100185,2024-01-07,Biscuits,30,1,Cash
187,100186,2024-01-07,Coffee,140,2,Cash
188,100187,2024-01-07,Shampoo,120,3,UPI
189,100188,2024-01-07,Sugar,40,1,UPI
190,100189,2024-01-07,Rice,120,2,UPI
191,100190,2024-01-07,Coffee,210,3,Cash
192,100191,2024-01-07,Milk,75,3,Cash
193,100192,2024-01-07,Milk,25,1,UPI
194,100193,2024-01-07,Dal,80,1,UPI
195,100194,2024-01-07,Rice,120,2,UPI
196,100195,2024-01-07,Tea,100,2,UPI
197,100196,2024-01-07,Biscuits,30,1,UPI
198,100197,2024-01-07,Rice,180,3,UPI
199,100198,2024-01-07,Rice,120,2,UPI
200,100199,2024-01-07,Dal,80,1,UPI
201,100200,2024-01-07,Tea,50,1,UPI
202,100201,2024-01-07,Rice,120,2,UPI
203,100202,2024-01-07,Sugar,40,1,UPI
204,100203,2024-01-07,Dal,160,2,Cash
205,100204,2024-01-07,Shampoo,120,3,Cash
206,100205,2024-01-07,Shampoo,80,2,UPI
207,100206,2024-01-07,Oil,300,2,UPI
208,100207,2024-01-07,Coffee,140,2,Cash
209,100208,2024-01-07,Shampoo,40,1,UPI
210,100209,2024-01-07,Shampoo,120,3,UPI
211,100210,2024-01-07,Shampoo,40,1,Cash
212,100211,2024-01-07,Oil,300,2,Cash
213,100212,2024-01-07,Wheat,270,3,UPI
214,100213,2024-01-07,Wheat,180,2,Cash
215,100214,2024-01-07,Tea,150,3,Cash
216,100215,2024-01-07,Biscuits,30,1,UPI
217,100216,2024-01-07,Sugar,80,2,Cash
218,100217,2024-01-07,Tea,100,2,Cash
219,100218,2024-01-07,Coffee,140,2,UPI
220,100219,2024-01-08,Tea,150,3,Cash
221,100220,2024-01-08,Coffee,140,2,Cash
222,100221,2024-01-08,Shampoo,120,3,Cash
223,100222,2024-01-08,Oil,450,3,Cash
224,100223,2024-01-08,Coffee,70,1,Cash
225,100224,2024-01-08,Oil,150,1,UPI
226,100225,2024-01-08,Tea,50,1,UPI
227,100226,2024-01-08,Milk,50,2,UPI
228,100227,2024-01-08,Tea,150,3,Cash
229,100228,2024-01-08,Coffee,140,2,UPI
230,100229,2024-01-08,Biscuits,90,3,Cash
231,100230,2024-01-08,Oil,450,3,UPI
232,100231,2024-01-08,Biscuits,30,1,Cash
233,100232,2024-01-08,Sugar,120,3,UPI
234,100233,2024-01-08,Biscuits,30,1,Cash
235,100234,2024-01-08,Tea,50,1,UPI
236,100235,2024-01-08,Rice,120,2,Cash
237,100236,2024-01-08,Coffee,140,2,UPI
238,100237,2024-01-09,Rice,60,1,Cash
239,100238,2024-01-09,Oil,300,2,Cash
240,100239,2024-01-09,Oil,300,2,UPI
241,100240,2024-01-09,Rice,180,3,Cash
242,100241,2024-01-09,Biscuits,60,2,Cash
243,100242,2024-01-09,Wheat,270,3,Cash
244,100243,2024-01-09,Wheat,270,3,UPI
245,100244,2024-01-09,Tea,50,1,UPI
246,100245,2024-01-09,Coffee,140,2,Cash
247,100246,2024-01-09,Shampoo,120,3,Cash
248,100247,2024-01-09,Rice,180,3,Cash
249,100248,2024-01-09,Wheat,90,1,Cash
250,100249,2024-01-09,Oil,300,2,Cash
251,100250,2024-01-09,Biscuits,90,3,UPI
252,100251,2024-01-09,Coffee,70,1,Cash
253,100252,2024-01-09,Dal,80,1,UPI
254,100253,2024-01-09,Dal,80,1,UPI
255,100254,2024-01-09,Milk,75,3,Cash
256,100255,2024-01-09,Oil,150,1,Cash
257,100256,2024-01-09,Sugar,120,3,UPI
258,100257,2024-01-10,Rice,180,3,Cash
259,100258,2024-01-10,Rice,120,2,UPI
260,100259,2024-01-10,Milk,50,2,Cash
261,100260,2024-01-10,Wheat,270,3,Cash
262,100261,2024-01-10,Wheat,90,1,Cash
263,100262,2024-01-10,Coffee,210,3,Cash
264,100263,2024-01-10,Sugar,120,3,UPI
265,100264,2024-01-10,Biscuits,90,3,Cash
266,100265,2024-01-10,Oil,150,1,Cash
267,100266,2024-01-10,Dal,80,1,UPI
268,100267,2024-01-10,Biscuits,60,2,Cash
269,100268,2024-01-10,Coffee,140,2,UPI
270,100269,2024-01-10,Biscuits,30,1,Cash
271,100270,2024-01-10,Shampoo,40,1,Cash
272,100271,2024-01-10,Biscuits,90,3,Cash
273,100272,2024-01-10,Coffee,70,1,Cash
274,100273,2024-01-10,Tea,50,1,Cash
275,100274,2024-01-10,Dal,160,2,UPI
276,100275,2024-01-10,Tea,50,1,UPI
277,100276,2024-01-11,Milk,50,2,Cash
278,100277,2024-01-11,Dal,160,2,UPI
279,100278,2024-01-11,Wheat,270,3,UPI
280,100279,2024-01-11,Shampoo,120,3,UPI
281,100280,2024-01-11,Coffee,70,1,Cash
282,100281,2024-01-11,Wheat,270,3,UPI
283,100282,2024-01-11,Tea,100,2,UPI
284,100283,2024-01-11,Oil,150,1,UPI
285,100284,2024-01-11,Tea,100,2,UPI
286,100285,2024-01-11,Oil,150,1,Cash
287,100286,2024-01-11,Tea,150,3,UPI
288,100287,2024-01-11,Rice,60,1,Cash
289,100288,2024-01-11,Coffee,140,2,Cash
290,100289,2024-01-11,Oil,450,3,UPI
291,100290,2024-01-11,Biscuits,90,3,Cash
292,100291,2024-01-11,Biscuits,60,2,Cash
293,100292,2024-01-11,Coffee,140,2,Cash
294,100293,2024-01-11,Sugar,120,3,UPI
295,100294,2024-01-11,Coffee,70,1,Cash
296,100295,2024-01-11,Coffee,210,3,UPI
297,100296,2024-01-11,Tea,100,2,UPI
298,100297,2024-01-11,Dal,80,1,Cash
299,100298,2024-01-11,Milk,25,1,Cash
300,100299,2024-01-11,Dal,80,1,UPI
301,100300,2024-01-11,Tea,100,2,Cash
302,100301,2024-01-11,Tea,50,1,UPI
303,100302,2024-01-11,Sugar,80,2,Cash
304,100303,2024-01-11,Rice,180,3,Cash
305,100304,2024-01-11,Shampoo,120,3,UPI
306,100305,2024-01-12,Wheat,180,2,Cash
307,100306,2024-01-12,Tea,100,2,UPI
308,100307,2024-01-12,Milk,25,1,UPI
309,100308,2024-01-12,Sugar,40,1,Cash
310,100309,2024-01-12,Shampoo,80,2,Cash
311,100310,2024-01-12,Coffee,210,3,UPI
312,100311,2024-01-12,Dal,80,1,Cash
313,100312,2024-01-12,Rice,120,2,UPI
314,100313,2024-01-12,Tea,100,2,UPI
315,100314,2024-01-12,Oil,150,1,Cash
316,100315,2024-01-12,Milk,50,2,UPI
317,100316,2024-01-12,Sugar,80,2,UPI
318,100317,2024-01-12,Sugar,40,1,UPI
319,100318,2024-01-12,Coffee,70,1,UPI
